Name;Link
Thomas_Chatterton;https://en.wikipedia.org/wiki/Thomas_Chatterton
Suicide_of_Danny_Chen;https://en.wikipedia.org/wiki/Suicide_of_Danny_Chen
Vic_Chesnutt;https://en.wikipedia.org/wiki/Vic_Chesnutt
Leslie_Cheung;https://en.wikipedia.org/wiki/Leslie_Cheung
Arthur_Chevrolet;https://en.wikipedia.org/wiki/Arthur_Chevrolet
George_Childress;https://en.wikipedia.org/wiki/George_Childress
Bill_Chinnock;https://en.wikipedia.org/wiki/Bill_Chinnock
John_Chisholm_(police_officer);https://en.wikipedia.org/wiki/John_Chisholm_(police_officer)
Isamu_Chō;https://en.wikipedia.org/wiki/Isamu_Chō
Seung-Hui_Cho;https://en.wikipedia.org/wiki/Seung-Hui_Cho
Julian_Chorążycki;https://en.wikipedia.org/wiki/Julian_Chorążycki
Michael_Christie_(golfer);https://en.wikipedia.org/wiki/Michael_Christie_(golfer)
Brian_Christopher;https://en.wikipedia.org/wiki/Brian_Christopher
Frank_Churchill;https://en.wikipedia.org/wiki/Frank_Churchill
Luciano_Cilio;https://en.wikipedia.org/wiki/Luciano_Cilio
Joe_Cino;https://en.wikipedia.org/wiki/Joe_Cino
Harry_E._Claiborne;https://en.wikipedia.org/wiki/Harry_E._Claiborne
John_Etter_Clark;https://en.wikipedia.org/wiki/John_Etter_Clark
Bob_Carlos_Clarke;https://en.wikipedia.org/wiki/Bob_Carlos_Clarke
Jeremiah_Clarke;https://en.wikipedia.org/wiki/Jeremiah_Clarke
Thierry_Claveyrolat;https://en.wikipedia.org/wiki/Thierry_Claveyrolat
Darcy_Clay;https://en.wikipedia.org/wiki/Darcy_Clay
Paul_Clayton_(folksinger);https://en.wikipedia.org/wiki/Paul_Clayton_(folksinger)
Cleanthes;https://en.wikipedia.org/wiki/Cleanthes
Suicide_of_Tyler_Clementi;https://en.wikipedia.org/wiki/Suicide_of_Tyler_Clementi
Robert_George_Clements;https://en.wikipedia.org/wiki/Robert_George_Clements
Cleomenes_I;https://en.wikipedia.org/wiki/Cleomenes_I
Cleomenes_III;https://en.wikipedia.org/wiki/Cleomenes_III
John_Clerk_(writer);https://en.wikipedia.org/wiki/John_Clerk_(writer)
Gervase_Clifton,_1st_Baron_Clifton;https://en.wikipedia.org/wiki/Gervase_Clifton,_1st_Baron_Clifton
Robert_Clive;https://en.wikipedia.org/wiki/Robert_Clive
Kurt_Cobain;https://en.wikipedia.org/wiki/Kurt_Cobain
Marcus_Cocceius_Nerva_(consul_36_BC);https://en.wikipedia.org/wiki/Marcus_Cocceius_Nerva_(consul_36_BC)
Marcus_Cocceius_Nerva_(jurist);https://en.wikipedia.org/wiki/Marcus_Cocceius_Nerva_(jurist)
James_Richard_Cocke;https://en.wikipedia.org/wiki/James_Richard_Cocke
Philip_St._George_Cocke;https://en.wikipedia.org/wiki/Philip_St._George_Cocke
William_Haskell_Coffin;https://en.wikipedia.org/wiki/William_Haskell_Coffin
Ferdinand_Cohen-Blind;https://en.wikipedia.org/wiki/Ferdinand_Cohen-Blind
Zerah_Colburn_(locomotive_designer);https://en.wikipedia.org/wiki/Zerah_Colburn_(locomotive_designer)
Bob_Cole_(composer);https://en.wikipedia.org/wiki/Bob_Cole_(composer)
Charles_Fenton_Collier;https://en.wikipedia.org/wiki/Charles_Fenton_Collier
Sir_George_Collier,_1st_Baronet;https://en.wikipedia.org/wiki/Sir_George_Collier,_1st_Baronet
Billy_Collins_Jr.;https://en.wikipedia.org/wiki/Billy_Collins_Jr.
John_C._Colt;https://en.wikipedia.org/wiki/John_C._Colt
Ray_Combs;https://en.wikipedia.org/wiki/Ray_Combs
Louis_Conradt;https://en.wikipedia.org/wiki/Louis_Conradt
Leonardo_Conti;https://en.wikipedia.org/wiki/Leonardo_Conti
Courtney_Ryley_Cooper;https://en.wikipedia.org/wiki/Courtney_Ryley_Cooper
Adolph_Coors;https://en.wikipedia.org/wiki/Adolph_Coors
Joseph_Corbett_Jr.;https://en.wikipedia.org/wiki/Joseph_Corbett_Jr.
Frank_Eugene_Corder;https://en.wikipedia.org/wiki/Frank_Eugene_Corder
Gnaeus_Cornelius_Lentulus_Augur;https://en.wikipedia.org/wiki/Gnaeus_Cornelius_Lentulus_Augur
Lucius_Cornelius_Merula_(consul_87_BC);https://en.wikipedia.org/wiki/Lucius_Cornelius_Merula_(consul_87_BC)
Cornelius_Sabinus;https://en.wikipedia.org/wiki/Cornelius_Sabinus
Don_Cornelius;https://en.wikipedia.org/wiki/Don_Cornelius
Chris_Cornell;https://en.wikipedia.org/wiki/Chris_Cornell
Tony_Costa;https://en.wikipedia.org/wiki/Tony_Costa
Uriel_da_Costa;https://en.wikipedia.org/wiki/Uriel_da_Costa
John_Coughlin_(figure_skater);https://en.wikipedia.org/wiki/John_Coughlin_(figure_skater)
Charles_Henry_Crandall;https://en.wikipedia.org/wiki/Charles_Henry_Crandall
Hart_Crane;https://en.wikipedia.org/wiki/Hart_Crane
Vincent_Crane;https://en.wikipedia.org/wiki/Vincent_Crane
Darby_Crash;https://en.wikipedia.org/wiki/Darby_Crash
James_Ashmore_Creelman;https://en.wikipedia.org/wiki/James_Ashmore_Creelman
Hector-Jonathan_Crémieux;https://en.wikipedia.org/wiki/Hector-Jonathan_Crémieux
René_Crevel;https://en.wikipedia.org/wiki/René_Crevel
Max_de_Crinis;https://en.wikipedia.org/wiki/Max_de_Crinis
Sonny_Criss;https://en.wikipedia.org/wiki/Sonny_Criss
Duo_Crommelynck;https://en.wikipedia.org/wiki/Duo_Crommelynck
Harry_Crosby;https://en.wikipedia.org/wiki/Harry_Crosby
Gentry_Crowell;https://en.wikipedia.org/wiki/Gentry_Crowell
Bartley_Crum;https://en.wikipedia.org/wiki/Bartley_Crum
Andrew_Cunanan;https://en.wikipedia.org/wiki/Andrew_Cunanan
Ian_Curtis;https://en.wikipedia.org/wiki/Ian_Curtis
John_Christopher_Cutler;https://en.wikipedia.org/wiki/John_Christopher_Cutler
Adam_Czerniaków;https://en.wikipedia.org/wiki/Adam_Czerniaków
Francis_J._D'Eramo;https://en.wikipedia.org/wiki/Francis_J._D'Eramo
Charles_Romeyn_Dake;https://en.wikipedia.org/wiki/Charles_Romeyn_Dake
John_W._Danenhower;https://en.wikipedia.org/wiki/John_W._Danenhower
Daryl_(magician);https://en.wikipedia.org/wiki/Daryl_(magician)
Emīls_Dārziņš;https://en.wikipedia.org/wiki/Emīls_Dārziņš
Cliff_Davies_(musician);https://en.wikipedia.org/wiki/Cliff_Davies_(musician)
Peter_Llewelyn_Davies;https://en.wikipedia.org/wiki/Peter_Llewelyn_Davies
Willis_E._Davis_(painter);https://en.wikipedia.org/wiki/Willis_E._Davis_(painter)
Timothy_Davlin;https://en.wikipedia.org/wiki/Timothy_Davlin
Pea_Ridge_Day;https://en.wikipedia.org/wiki/Pea_Ridge_Day
Dimitri_De_Fauw;https://en.wikipedia.org/wiki/Dimitri_De_Fauw
William_Sackville,_10th_Earl_De_La_Warr;https://en.wikipedia.org/wiki/William_Sackville,_10th_Earl_De_La_Warr
Dead_(musician);https://en.wikipedia.org/wiki/Dead_(musician)
Death_of_Adolf_Hitler;https://en.wikipedia.org/wiki/Death_of_Adolf_Hitler
Guy_Debord;https://en.wikipedia.org/wiki/Guy_Debord
Decebalus;https://en.wikipedia.org/wiki/Decebalus
Decentius;https://en.wikipedia.org/wiki/Decentius
Frederic_De_Frouville;https://en.wikipedia.org/wiki/Frederic_De_Frouville
Roy_Andries_De_Groot;https://en.wikipedia.org/wiki/Roy_Andries_De_Groot
Gilles_Deleuze;https://en.wikipedia.org/wiki/Gilles_Deleuze
